"","dep_eta","ivg_recours","ivg_horsdep","ivg_ville","ivg_chir","ivg_ag","ivg_privé","img_recours","ivg_eta_privé","ivg_1314","dens_nb_gynec_2020","proxmat_2000","proxmat_2008","proxmat_2017","dens_nb_sgf_.2020","dens_nb_medg_2020","icf_.2020"
"91","90",2505.27753632187,8.47457627118644,8.42627013630731,16.1856963613551,100,5.68335588633288,58.984229479697,50,5.22696011004127,"17","0","0","0","22","79",184
"92","91",1432.67810906295,28.7925696594427,33.5027444602562,23.7564499484004,75.5864465682016,19.2601650871293,24.4653305877796,50,6.5512978986403,"14.2","0","0","0","26.5","65.2",213
"93","92",1270.03181603676,37.670143185434,34.5034246575342,30.5184671406277,33.6931818181818,6.69281045751634,76.1149204816552,42.8571428571429,3.66436537440255,"26.4","0","0","0","25.2","70.3",172
"94","93",1690.23145959226,33.8409475465313,25.9420104738792,29.6792477135128,71.7013888888889,6.10555363918593,31.9522615940292,36.3636363636364,6.55305692199578,"11.4","0","0","0","21.9","59.3",222
"95","94",1282.66807177239,42.9463171036205,49.6527088708077,28.391356542617,85.4827343199436,11.1549073709105,67.4552568008899,50,8.13204508856683,"18.8","0","0","0","18.4","65.2",188
"96","95",1403.96240464841,31.3375350140056,23.4286907496346,18.5844458571731,96.1231470923603,11.8898281974366,59.8054563684016,44.4444444444444,6.14617940199336,"17.1","0","0","0","19","65.2",220
"97","971",3563.79869267152,7.16287760822174,61.7655830599463,10.7701564380265,99.7206703910614,4.36817472698908,66.9607270021789,33.3333333333333,14.2259414225941,"18.9","1","0.8","2.8","32.7","82.8",233
"98","972",2518.20922131388,2.21260221260221,38.7517466231952,24.3117125524965,100,0.228136882129278,63.3364219613179,33.3333333333333,7.37327188940092,"11.2","1","0.9","1.8","30.7","83.2",193
"99","974",1956.50238096248,1.74008810572687,53.2076289553533,12.9388385957165,100,17.7860120426123,56.3967959835304,50,8.76361913784936,"16.3","0.9","0.8","0.8","45.9","101.9",241
"100","976",1917.8589047854,1.50684931506849,26.3665594855305,12.6207340631037,100,0,49.3339911198816,0,12.7640845070423,NA,"28.6","27.6","24",NA,NA,454
